x,d,y
-0.4344526225,-4200,160.27591905
38.8267051103,-4200,147.325517479
4.76058655237,-3650,158.562320996
37.0435265562,-3650,147.913703862
4.48542670901,-3700,158.653083232
37.1982404887,-3700,147.862671043
4.17440659926,-3750,158.755674077
37.389803518,-3750,147.799483448
3.89908687937,-3800,158.846489048
37.6345465134,-3800,147.718754293
3.67666002892,-3850,158.919857161
37.9061285371,-3850,147.629172211
3.46064671811,-3900,158.991109749
38.0235895875,-3900,147.590427358
2.14777623697,-3950,159.424163712
38.1472836886,-3950,147.549626516
5.94360178174,-3300,158.172100148
10.6106920377,-3300,156.632647506
25.4045804598,-3300,151.752842454
36.3475661471,-3300,148.14326833
5.82304541958,-3350,158.211865998
10.6335066762,-3350,156.625122035
25.3388110427,-3350,151.774536678
36.4577987812,-3350,148.10690779
5.68079642016,-3400,158.258787224
10.6565298141,-3400,156.617527789
25.2606589598,-3400,151.800315359
36.5617241957,-3400,148.072627705
5.52869644301,-3450,158.308957822
10.6797597779,-3450,156.609865321
25.1592788308,-3450,151.833755875
36.6473828393,-3450,148.044372964
5.36918669372,-3500,158.361572555
10.7031817845,-3500,156.602139507
23.9171891127,-3500,152.243462608
24.0920788281,-3500,152.185774751
25.01357359,-3500,151.881817152
36.7331582,-3500,148.016079724
5.18289026271,-3550,158.423022948
10.7267982343,-3550,156.594349556
23.7634931511,-3550,152.294159646
24.2607925971,-3550,152.130124047
24.8195876675,-3550,151.945803946
36.8220666828,-3550,147.986753015
4.97368390426,-3600,158.492030245
10.7507575214,-3600,156.586446519
23.6399173837,-3600,152.334921455
36.9232520081,-3600,147.953376755
6.56793689728,-2950,157.966161481
10.4451177394,-2950,156.687262647
6.49265236357,-3000,157.990994293
10.4686867302,-3000,156.67948835
25.6802329552,-3000,151.661917715
35.7716824457,-3000,148.333225163
6.40740970314,-3050,158.019111821
10.4923292234,-3050,156.671689808
25.6328870373,-3050,151.677534897
35.8577517539,-3050,148.304834964
6.3184206401,-3100,158.04846511
10.5160455672,-3100,156.663866906
25.5879457516,-3100,151.692358905
35.9429895024,-3100,148.276719056
6.22739035502,-3150,158.078491701
10.5398361118,-3150,156.656019529
25.5440909879,-3150,151.70682452
36.0295087249,-3150,148.248180451
6.13894932834,-3200,158.107664219
10.563743738,-3200,156.648133533
25.5001035879,-3200,151.721333886
36.1268381935,-3200,148.216076056
6.04067724491,-3250,158.140079537
10.5875423456,-3250,156.640283496
25.4536594548,-3250,151.736653612
36.2327352879,-3250,148.181145607
63.927624484,-4600,139.045909733
64.7719002911,-4600,138.767423021
63.696739268,-4950,139.122067861
64.9279371548,-4950,138.71595383
63.7333844037,-4900,139.109980362
64.9037870907,-4900,138.723919795
63.7690919212,-4850,139.098202138
64.8796368484,-4850,138.731885819
63.8039055991,-4800,139.08671875
64.8575011344,-4800,138.739187346
